TC ,,productTitle,bodyHtml,vendor,product_type,status,published_scope,handle,published_at,template_suffix,option1Name,option2Name,option3Name,option4Name,option1Value,option2Value,option3Value,optionsArray
19,Verify that the reuquest body 'handle' is not the same as the previously generated 'handle',Ten san pham O,,,,active,,{{$guid}},,,,,,,,,,
20,handle is blank ,Ten san pham P,,,,active,,,,,,,,,,,,
21,template_suffix is blank ,Ten san pham Q,,,,active,,,,,,,,,,,,
22,Verify that the template_suffix returns the same as the request body ,Ten san pham R,,,,active,,,,TENSANPHAM123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tenn,,,,,,,,
23,Verify that the 'published_at' when the status is set to 'active',Ten san pham S,,,,active,2025-04-13T04:55:33-04:00,,,,,,,,,,,
24,Verify that the 'published_at' when the status is set to 'archived',Ten san pham T,,,,archived,,,,,,,,,,,,
25,Verify that the 'published_at' when the status is set to ' draft ',Ten san pham U,,,,draft ,,,,,,,,,,,,
26,Verify that the 'published_scope' : web when the status is set to 'active',Ten san pham V,,,,active,web,,,,,,,,,,,
27,Verify that the 'published_scope' : global when the status is set to 'active',Ten san pham x,,,,active,global,,,,,,,,,,,
28,Verify that the 'published_scope' is blank when the status is set to 'active',Ten san pham y,,,,active,,,,,,,,,,,,
29,Verify that the 'published_scope' : web when the status is set to 'archived',Ten san pham Z,,,,archived,web,,,,,,,,,,,
30,Verify that the 'published_scope' : global when the status is set to 'archived',Ten san pham W,,,,archived,global,,,,,,,,,,,
31,Verify that the 'published_scope' : web when the status is set to 'draft',Ten san pham 1,,,,draft ,web,,,,,,,,,,,
32,Verify that the 'published_scope' : global when the status is set to 'draft',Ten san pham 2,,,,draft ,global,,,,,,,,,,,
33,Verify that the request body include 'published_scope' with a value different from 'web' and 'global',Ten san pham 3,,,,active,TENSANPHAM123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tensanpham123!@#$%^&*()68886Tenn,,,,,,,,,,,
34,Verify that the 'published_scope' is blank when the status is set to 'archived',Ten san pham 4,,,,archived,,,,,,,,,,,,
35,"Verify that the request body returns default 'options' , sending an empty array ",Ten san pham 5,,,,active,,,,,,,,,,,,
36,Request body includes  'options' that send an empty value ,Ten san pham 6,,,,active,,,,,,,,,,,,
37,"Request body includes  'options' that send the ""null"" value ",Ten san pham 7,,,,active,,,,,,,,,,,,null
38,Request body includes  'options' that send an empty variant ,Ten san pham 8,,,,active,,,,,,,,,,,,[{}]
39,Request body includes  'options' that send an variant of options,Ten san pham 9,,,,active,,,,,mau sac ,,,,,,,
40,Request body includes  'options' that send 2 variants  of options,Ten san pham 10,,,,active,,,,,mau sac ,kich thuoc,,,,,,
41,"Request body sends up 'options' with 2 'variants' respectively,  'option1' and 'option2'",Ten san pham 11,,,,active,,,,,mau sac ,kich thuoc ,,,do,S,,
42,"Request body sends up 'options' with 3 'variants' respectively,  'option1' , 'option2', 'option3'",Ten san pham 12,,,,active,,,,,mau sac ,kich thuoc ,hinh dang,,do,S,tron,
43,Request body includes  'options' that send 4 variants  of options,Ten san pham 14,,,,active,,,,,mau sac ,kich thuoc ,hinh dang,chat lieu ,,,,
